"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","% Rostered","+/-","MIN","FG-","3PTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO","PF","TF","EJ","2DO","3D","+-"
"*059ci*","Kavell Bigby-Williams","(N/A)","C,Flx","581","FA","26","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02h04*","Tyrell Biggs","(N/A)","SF,PF,F,Flx","582","FA","35","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04exj*","Jabari Bird","(N/A)","SG,G,Flx","583","FA","27","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03jr4*","Tarik Black","(N/A)","PF,F,C,Flx","585","FA","30","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*023z2*","Marqus Blakely","(N/A)","SF,F,Flx","587","FA","33","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04sax*","Trevon Bluiett","(N/A)","PG,SG,G,Flx","591","FA","27","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05qyz*","Jordan Bowden","(N/A)","SG,G,Flx","605","FA","24","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0016o*","Corey Brewer","(N/A)","SG,G,SF,F,Flx","610","FA","35","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*001bn*","Ronnie Brewer","(N/A)","SG,G,SF,F,Flx","612","FA","36","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xok*","Jordan Burns","(N/A)","PG,G,Flx","633","FA","24","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
